cga3dc geometric product - basis product table:
[            e35,          -e315,           e235,             e5,      e435 + e3,              0,   -e4315 + e31,    e4235 - e23,        e45 - 1,            e25,           -e15,         -e3215,              0,              0,              0,            e35,           e315,          -e235,            -e5,              0,              0,              0,      e425 + e2,     -e415 - e1, -e12345 - e321,          -e125,            e25,           -e15,         -e3215,              0,   -e4125 + e12,           e125 ] | e125
[            e41,            -e4,           e412,          -e431,              0,      e415 - e1,              0,              0,              0,         -e1234,            e43,           -e42,       -e45 - 1,    e4125 + e12,   -e4315 - e31,           -e41,            -e4,           e412,          -e431, -e12345 + e321,      e435 - e3,     -e425 + e2,              0,              0,              0,           e423,          e1234,           -e43,            e42,    e4235 + e23,              0,           e423 ] | e423
[            e42,          -e412,            -e4,           e423,              0,      e425 - e2,              0,              0,              0,           -e43,         -e1234,            e41,   -e4125 - e12,       -e45 - 1,    e4235 + e23,           -e42,          -e412,            -e4,           e423,     -e435 + e3, -e12345 + e321,      e415 - e1,              0,              0,              0,           e431,            e43,          e1234,           -e41,    e4315 + e31,              0,           e431 ] | e431
[            e43,           e431,          -e423,            -e4,              0,      e435 - e3,              0,              0,              0,            e42,           -e41,         -e1234,    e4315 + e31,   -e4235 - e23,       -e45 - 1,           -e43,           e431,          -e423,            -e4,      e425 - e2,     -e415 + e1, -e12345 + e321,              0,              0,              0,           e412,           -e42,            e41,          e1234,    e4125 + e12,              0,           e412 ] | e412
[           -e45,           e415,           e425,           e435,            -e4,             e5,           -e41,           -e42,           -e43,         -e4235,         -e4315,         -e4125,            e15,            e25,            e35,             -1,             e1,             e2,             e3,           e235,           e315,           e125,          -e423,          -e431,          -e412,         e12345,           -e23,           -e31,           -e12,          e3215,         -e1234,           e321 ] | e321
[             e1,              1,           -e12,            e31,            e41,           -e15,             e4,          -e412,           e431,          -e321,             e3,            -e2,            -e5,           e125,          -e315,          -e415,           -e45,          e4125,         -e4315,          e3215,           -e35,            e25,         -e1234,            e43,           -e42,           -e23,         e12345,          -e435,           e425,           e235,          -e423,          e4235 ] | e4235
[             e2,            e12,              1,           -e23,            e42,           -e25,           e412,             e4,          -e423,            -e3,          -e321,             e1,          -e125,            -e5,           e235,          -e425,         -e4125,           -e45,          e4235,            e35,          e3215,           -e15,           -e43,         -e1234,            e41,           -e31,           e435,         e12345,          -e415,           e315,          -e431,          e4315 ] | e4315
[             e3,           -e31,            e23,              1,            e43,           -e35,          -e431,           e423,             e4,             e2,            -e1,          -e321,           e315,          -e235,            -e5,          -e435,          e4315,         -e4235,           -e45,           -e25,            e15,          e3215,            e42,           -e41,         -e1234,           -e12,          -e425,           e415,         e12345,           e125,          -e412,          e4125 ] | e4125
[            -e5,           -e15,           -e25,           -e35,       -e45 + 1,              0,     -e415 - e1,     -e425 - e2,     -e435 - e3,          -e235,          -e315,          -e125,              0,              0,              0,            -e5,            e15,            e25,            e35,              0,              0,              0,   -e4235 + e23,   -e4315 + e31,   -e4125 + e12,         -e3215,          -e235,          -e315,          -e125,              0, -e12345 - e321,          e3215 ] | e3215
[            -e4,            e41,            e42,            e43,              0,        e45 + 1,              0,              0,              0,          -e423,          -e431,          -e412,     -e415 + e1,     -e425 + e2,     -e435 + e3,             e4,            e41,            e42,            e43,    e4235 + e23,    e4315 + e31,    e4125 + e12,              0,              0,              0,          e1234,           e423,           e431,           e412, -e12345 + e321,              0,          e1234 ] | e1234
[              1,             e1,             e2,             e3,             e4,             e5,            e41,            e42,            e43,            e23,            e31,            e12,            e15,            e25,            e35,            e45,           e415,           e425,           e435,           e235,           e315,           e125,           e423,           e431,           e412,           e321,          e4235,          e4315,          e4125,          e3215,          e1234,         e12345 ] | e12345

-------------------------------------------------------------------

cga3dc regressive geometric product (alternative definition) - intermediate results:

order k = 0:
       1,     e1,     e2,     e3,     e4,     e5,    e41,    e42,    e43,    e23,    e31,    e12,    e15,    e25,    e35,    e45,   e415,   e425,   e435,   e235,   e315,   e125,   e423,   e431,   e412,   e321,  e4235,  e4315,  e4125,  e3215,  e1234, e12345   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1 ] | 1
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,     e1 ] | e1
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,     e2 ] | e2
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,     e3 ] | e3
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,     e4 ] | e4
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,     e5 ] | e5
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,    -e4,      0,      0,     e1,      0,    e41 ] | e41
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,    -e4,      0,     e2,      0,    e42 ] | e42
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,    -e4,     e3,      0,    e43 ] | e43
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     e3,    -e2,      0,      0,    e23 ] | e23
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,    -e3,      0,     e1,      0,      0,    e31 ] | e31
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,     e2,    -e1,      0,      0,      0,    e12 ] | e12
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,     e5,      0,      0,      0,    -e1,    e15 ] | e15
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,     e5,      0,      0,    -e2,    e25 ] | e25
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,     e5,      0,    -e3,    e35 ] | e35
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,     e5,    -e4,    e45 ] | e45
[      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,    -e4,      0,      0,     e1,   -e45,      0,      0,    e15,    e41,   e415 ] | e415
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,    -e4,      0,     e2,      0,   -e45,      0,    e25,    e42,   e425 ] | e425
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,    -e4,     e3,      0,      0,   -e45,    e35,    e43,   e435 ] | e435
[      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,      0,      0,      0,      0,     e3,    -e2,      0,      0,    e35,   -e25,      0,    e23,   e235 ] | e235
[      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,      0,      0,    -e3,      0,     e1,      0,   -e35,      0,    e15,      0,    e31,   e315 ] | e315
[      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,      0,      0,      0,      0,      0,      0,    -e5,      0,      0,      0,     e2,    -e1,      0,      0,    e25,   -e15,      0,      0,    e12,   e125 ] | e125
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,    -e4,      0,      0,      0,    -e3,     e2,      0,      0,      0,      0,      0,   -e43,    e42,    e23,      0,   e423 ] | e423
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,    -e4,      0,     e3,      0,    -e1,      0,      0,      0,      0,    e43,      0,   -e41,    e31,      0,   e431 ] | e431
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,      0,      0,      0,    -e4,    -e2,     e1,      0,      0,      0,      0,      0,   -e42,    e41,      0,    e12,      0,   e412 ] | e412
[      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,     -1,     e1,     e2,     e3,      0,      0,      0,      0,      0,      0,      0,   -e23,   -e31,   -e12,      0,      0,   e321 ] | e321
[      0,      1,      0,      0,      0,      0,     e4,      0,      0,      0,     e3,    -e2,    -e5,      0,      0,      0,   -e45,      0,      0,      0,   -e35,    e25,      0,    e43,   -e42,   -e23,      0,  -e435,   e425,   e235,  -e423,  e4235 ] | e4235
[      0,      0,      1,      0,      0,      0,      0,     e4,      0,    -e3,      0,     e1,      0,    -e5,      0,      0,      0,   -e45,      0,    e35,      0,   -e15,   -e43,      0,    e41,   -e31,   e435,      0,  -e415,   e315,  -e431,  e4315 ] | e4315
[      0,      0,      0,      1,      0,      0,      0,      0,     e4,     e2,    -e1,      0,      0,      0,    -e5,      0,      0,      0,   -e45,   -e25,    e15,      0,    e42,   -e41,      0,   -e12,  -e425,   e415,      0,   e125,  -e412,  e4125 ] | e4125
[      0,      0,      0,      0,      1,      0,    -e1,    -e2,    -e3,      0,      0,      0,      0,      0,      0,    -e5,    e15,    e25,    e35,      0,      0,      0,    e23,    e31,    e12,      0,  -e235,  -e315,  -e125,      0,  -e321,  e3215 ] | e3215
[      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,     e1,     e2,     e3,     e4,    e41,    e42,    e43,    e23,    e31,    e12,      0,      0,      0,      0,   e423,   e431,   e412,   e321,      0,  e1234 ] | e1234
[      1,     e1,     e2,     e3,     e4,     e5,    e41,    e42,    e43,    e23,    e31,    e12,    e15,    e25,    e35,    e45,   e415,   e425,   e435,   e235,   e315,   e125,   e423,   e431,   e412,   e321,  e4235,  e4315,  e4125,  e3215,  e1234, e12345 ] | e12345

order k = 1:
             1,           e1,           e2,           e3,           e4,           e5,          e41,          e42,          e43,          e23,          e31,          e12,          e15,          e25,          e35,          e45,         e415,         e425,         e435,         e235,         e315,         e125,         e423,         e431,         e412,         e321,        e4235,        e4315,        e4125,        e3215,        e1234,       e12345   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,       -1 + 1,           e1,           e2,           e3,          -e5,          -e4,            0 ] | 1
[            0,            0,            0,            0,            0,            0,            0,            0,            0,       1 + -1,            0,            0,            0,            0,            0,            0,            0,           e3,          -e2,          -e5,            0,            0,           e4,            0,            0,     -e1 + e1,            0,         -e12,          e31,          e15,         -e41,            0 ] | e1
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,       1 + -1,            0,            0,            0,            0,            0,          -e3,            0,           e1,            0,          -e5,            0,            0,           e4,            0,     -e2 + e2,          e12,            0,         -e23,          e25,         -e42,            0 ] | e2
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,       1 + -1,            0,            0,            0,            0,           e2,          -e1,            0,            0,            0,          -e5,            0,            0,           e4,     -e3 + e3,         -e31,          e23,            0,          e35,         -e43,            0 ] | e3
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,          -e1,          -e2,          -e3,            0,            0,            0,           e4,         -e41,         -e42,         -e43,          e45,            0,            0 ] | e4
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,           e1,           e2,           e3,          -e5,          e15,          e25,          e35,            0,         -e45,            0 ] | e5
[            0,            0,            0,            0,            0,            0,            0,            0,            0,           e4,            0,            0,            0,           e3,          -e2,            0,            0,          e43,         -e42,         -e45,          e12,         -e31,            0,            0,            0,          e41,            0,         e412,        -e431,        -e415,            0,            0 ] | e41
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,           e4,            0,          -e3,            0,           e1,            0,         -e43,            0,          e41,         -e12,         -e45,          e23,            0,            0,            0,          e42,        -e412,            0,         e423,        -e425,            0,            0 ] | e42
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,           e4,           e2,          -e1,            0,            0,          e42,         -e41,            0,          e31,         -e23,         -e45,            0,            0,            0,          e43,         e431,        -e423,            0,        -e435,            0,            0 ] | e43
[            0,       1 + -1,            0,            0,            0,            0,           e4,            0,            0,            0,     e3 + -e3,     -e2 + e2,           e5,            0,            0,           e1,            0,          e12,         -e31,            0,          e35,         -e25,            0,          e43,         -e42,   -e23 + e23,        -e321,            0,            0,        -e235,        -e423,            0 ] | e23
[            0,            0,       1 + -1,            0,            0,            0,            0,           e4,            0,     -e3 + e3,            0,     e1 + -e1,            0,           e5,            0,           e2,         -e12,            0,          e23,         -e35,            0,          e15,         -e43,            0,          e41,   -e31 + e31,            0,        -e321,            0,        -e315,        -e431,            0 ] | e31
[            0,            0,            0,       1 + -1,            0,            0,            0,            0,           e4,     e2 + -e2,     -e1 + e1,            0,            0,            0,           e5,           e3,          e31,         -e23,            0,          e25,         -e15,            0,          e42,         -e41,            0,   -e12 + e12,            0,            0,        -e321,        -e125,        -e412,            0 ] | e12
[            0,            0,            0,            0,            0,            0,            0,          -e3,           e2,           e5,            0,            0,            0,            0,            0,            0,            0,          e35,         -e25,            0,            0,            0,          e45,          e12,         -e31,         -e15,            0,        -e125,         e315,            0,        -e415,            0 ] | e15
[            0,            0,            0,            0,            0,            0,           e3,            0,          -e1,            0,           e5,            0,            0,            0,            0,            0,         -e35,            0,          e15,            0,            0,            0,         -e12,          e45,          e23,         -e25,         e125,            0,        -e235,            0,        -e425,            0 ] | e25
[            0,            0,            0,            0,            0,            0,          -e2,           e1,            0,            0,            0,           e5,            0,            0,            0,            0,          e25,         -e15,            0,            0,            0,            0,          e31,         -e23,          e45,         -e35,        -e315,         e235,            0,            0,        -e435,            0 ] | e35
[            0,            0,            0,            0,            0,            0,            0,            0,            0,           e1,           e2,           e3,            0,            0,            0,            0,            0,            0,            0,         -e15,         -e25,         -e35,          e41,          e42,          e43,            0,        -e415,        -e425,        -e435,            0,            0,            0 ] | e45
[            0,            0,           e3,          -e2,            0,            0,            0,          e43,         -e42,            0,          e12,         -e31,            0,          e35,         -e25,            0,            0,         e435,        -e425,            0,         e125,        -e315,            0,         e412,        -e431,            0,            0,        e4125,       -e4315,            0,            0,            0 ] | e415
[            0,          -e3,            0,           e1,            0,            0,         -e43,            0,          e41,         -e12,            0,          e23,         -e35,            0,          e15,            0,        -e435,            0,         e415,        -e125,            0,         e235,        -e412,            0,         e423,            0,       -e4125,            0,        e4235,            0,            0,            0 ] | e425
[            0,           e2,          -e1,            0,            0,            0,          e42,         -e41,            0,          e31,         -e23,            0,          e25,         -e15,            0,            0,         e425,        -e415,            0,         e315,        -e235,            0,         e431,        -e423,            0,            0,        e4315,       -e4235,            0,            0,            0,            0 ] | e435
[            0,           e5,            0,            0,           e1,            0,          e45,          e12,         -e31,            0,          e35,         -e25,            0,            0,            0,          e15,            0,         e125,        -e315,            0,            0,            0,        -e321,         e435,        -e425,        -e235,       -e3215,            0,            0,            0,       -e4235,            0 ] | e235
[            0,            0,           e5,            0,           e2,            0,         -e12,          e45,          e23,         -e35,            0,          e15,            0,            0,            0,          e25,        -e125,            0,         e235,            0,            0,            0,        -e435,        -e321,         e415,        -e315,            0,       -e3215,            0,            0,       -e4315,            0 ] | e315
[            0,            0,            0,           e5,           e3,            0,          e31,         -e23,          e45,          e25,         -e15,            0,            0,            0,            0,          e35,         e315,        -e235,            0,            0,            0,            0,         e425,        -e415,        -e321,        -e125,            0,            0,       -e3215,            0,       -e4125,            0 ] | e125
[            0,          -e4,            0,            0,            0,          -e1,            0,            0,            0,            0,          e43,         -e42,         -e45,          e12,         -e31,         -e41,            0,         e412,        -e431,         e321,         e435,        -e425,            0,            0,            0,         e423,        e1234,            0,            0,        e4235,            0,            0 ] | e423
[            0,            0,          -e4,            0,            0,          -e2,            0,            0,            0,         -e43,            0,          e41,         -e12,         -e45,          e23,         -e42,        -e412,            0,         e423,        -e435,         e321,         e415,            0,            0,            0,         e431,            0,        e1234,            0,        e4315,            0,            0 ] | e431
[            0,            0,            0,          -e4,            0,          -e3,            0,            0,            0,          e42,         -e41,            0,          e31,         -e23,         -e45,         -e43,         e431,        -e423,            0,         e425,        -e415,         e321,            0,            0,            0,         e412,            0,            0,        e1234,        e4125,            0,            0 ] | e412
[       -1 + 1,     -e1 + e1,     -e2 + e2,     -e3 + e3,          -e4,           e5,         -e41,         -e42,         -e43,   -e23 + e23,   -e31 + e31,   -e12 + e12,          e15,          e25,          e35,            0,            0,            0,            0,         e235,         e315,         e125,        -e423,        -e431,        -e412, -e321 + e321,            0,            0,            0,        e3215,       -e1234,            0 ] | e321
[           e1,            0,         -e12,          e31,          e41,         -e15,            0,        -e412,         e431,        -e321,            0,            0,            0,         e125,        -e315,        -e415,            0,        e4125,       -e4315,        e3215,            0,            0,       -e1234,            0,            0,            0,       e12345,            0,            0,            0,            0,            0 ] | e4235
[           e2,          e12,            0,         -e23,          e42,         -e25,         e412,            0,        -e423,            0,        -e321,            0,        -e125,            0,         e235,        -e425,       -e4125,            0,        e4235,            0,        e3215,            0,            0,       -e1234,            0,            0,            0,       e12345,            0,            0,            0,            0 ] | e4315
[           e3,         -e31,          e23,            0,          e43,         -e35,        -e431,         e423,            0,            0,            0,        -e321,         e315,        -e235,            0,        -e435,        e4315,       -e4235,            0,            0,            0,        e3215,            0,            0,       -e1234,            0,            0,            0,       e12345,            0,            0,            0 ] | e4125
[          -e5,         -e15,         -e25,         -e35,         -e45,            0,        -e415,        -e425,        -e435,        -e235,        -e315,        -e125,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,       -e4235,       -e4315,       -e4125,       -e3215,            0,            0,            0,            0,      -e12345,            0 ] | e3215
[          -e4,          e41,          e42,          e43,            0,          e45,            0,            0,            0,        -e423,        -e431,        -e412,        -e415,        -e425,        -e435,            0,            0,            0,            0,        e4235,        e4315,        e4125,            0,            0,            0,        e1234,            0,            0,            0,      -e12345,            0,            0 ] | e1234
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e12345

order k = 2:
             1,           e1,           e2,           e3,           e4,           e5,          e41,          e42,          e43,          e23,          e31,          e12,          e15,          e25,          e35,          e45,         e415,         e425,         e435,         e235,         e315,         e125,         e423,         e431,         e412,         e321,        e4235,        e4315,        e4125,        e3215,        e1234,       e12345   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[            0,            0,            0,            0,            0,            0,            0,            0,            0,     e1 + -e1,     e2 + -e2,     e3 + -e3,            0,            0,            0,            0,          e23,          e31,          e12,          e15,          e25,          e35,          e41,          e42,          e43,         -e45,            0,            0,            0,            0,            0,            0 ] | 1
[            0,            0,     -e3 + e3,     e2 + -e2,            0,            0,            0,         -e43,          e42,          e45,   -e12 + e12,   e31 + -e31,            0,          e35,         -e25,         -e23,        -e321,            0,            0,            0,         e125,        -e315,            0,        -e412,         e431,         e415,            0,            0,            0,            0,            0,            0 ] | e1
[            0,     e3 + -e3,            0,     -e1 + e1,            0,            0,          e43,            0,         -e41,   e12 + -e12,          e45,   -e23 + e23,         -e35,            0,          e15,         -e31,            0,        -e321,            0,        -e125,            0,         e235,         e412,            0,        -e423,         e425,            0,            0,            0,            0,            0,            0 ] | e2
[            0,     -e2 + e2,     e1 + -e1,            0,            0,            0,         -e42,          e41,            0,   -e31 + e31,   e23 + -e23,          e45,          e25,         -e15,            0,         -e12,            0,            0,        -e321,         e315,        -e235,            0,        -e431,         e423,            0,         e435,            0,            0,            0,            0,            0,            0 ] | e3
[            0,            0,            0,            0,            0,            0,            0,            0,            0,          e41,          e42,          e43,          e23,          e31,          e12,            0,         e423,         e431,         e412,         e415,         e425,         e435,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e4
[            0,            0,            0,            0,            0,            0,          e23,          e31,          e12,          e15,          e25,          e35,            0,            0,            0,            0,         e235,         e315,         e125,            0,            0,            0,         e415,         e425,         e435,            0,            0,            0,            0,            0,            0,            0 ] | e5
[            0,            0,          e43,         -e42,            0,          e23,            0,            0,            0,            0,        -e412,         e431,        -e321,        -e435,         e425,         e423,       -e1234,            0,            0,            0,        e4125,       -e4315,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e41
[            0,         -e43,            0,          e41,            0,          e31,            0,            0,            0,         e412,            0,        -e423,         e435,        -e321,        -e415,         e431,            0,       -e1234,            0,       -e4125,            0,        e4235,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e42
[            0,          e42,         -e41,            0,            0,          e12,            0,            0,            0,        -e431,         e423,            0,        -e425,         e415,        -e321,         e412,            0,            0,       -e1234,        e4315,       -e4235,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e43
[     e1 + -e1,          e45,   -e12 + e12,   e31 + -e31,          e41,          e15,            0,        -e412,         e431, -e321 + e321,        -e435,         e425,            0,        -e125,         e315,            0,            0,            0,            0,       -e3215,            0,            0,       -e1234,            0,            0,       -e4235,            0,            0,            0,            0,            0,            0 ] | e23
[     e2 + -e2,   e12 + -e12,          e45,   -e23 + e23,          e42,          e25,         e412,            0,        -e423,         e435, -e321 + e321,        -e415,         e125,            0,        -e235,            0,            0,            0,            0,            0,       -e3215,            0,            0,       -e1234,            0,       -e4315,            0,            0,            0,            0,            0,            0 ] | e31
[     e3 + -e3,   -e31 + e31,   e23 + -e23,          e45,          e43,          e35,        -e431,         e423,            0,        -e425,         e415, -e321 + e321,        -e315,         e235,            0,            0,            0,            0,            0,            0,            0,       -e3215,            0,            0,       -e1234,       -e4125,            0,            0,            0,            0,            0,            0 ] | e12
[            0,            0,         -e35,          e25,          e23,            0,         e321,        -e435,         e425,            0,        -e125,         e315,            0,            0,            0,        -e235,       -e3215,            0,            0,            0,            0,            0,            0,       -e4125,        e4315,            0,            0,            0,            0,            0,            0,            0 ] | e15
[            0,          e35,            0,         -e15,          e31,            0,         e435,         e321,        -e415,         e125,            0,        -e235,            0,            0,            0,        -e315,            0,       -e3215,            0,            0,            0,            0,        e4125,            0,       -e4235,            0,            0,            0,            0,            0,            0,            0 ] | e25
[            0,         -e25,          e15,            0,          e12,            0,        -e425,         e415,         e321,        -e315,         e235,            0,            0,            0,            0,        -e125,            0,            0,       -e3215,            0,            0,            0,       -e4315,        e4235,            0,            0,            0,            0,            0,            0,            0,            0 ] | e35
[            0,         -e23,         -e31,         -e12,            0,            0,        -e423,        -e431,        -e412,            0,            0,            0,         e235,         e315,         e125,            0,        e4235,        e4315,        e4125,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e45
[          e23,        -e321,            0,            0,         e423,         e235,       -e1234,            0,            0,            0,            0,            0,       -e3215,            0,            0,        e4235,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e415
[          e31,            0,        -e321,            0,         e431,         e315,            0,       -e1234,            0,            0,            0,            0,            0,       -e3215,            0,        e4315,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e425
[          e12,            0,            0,        -e321,         e412,         e125,            0,            0,       -e1234,            0,            0,            0,            0,            0,       -e3215,        e4125,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e435
[          e15,            0,        -e125,         e315,         e415,            0,            0,       -e4125,        e4315,       -e3215,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e235
[          e25,         e125,            0,        -e235,         e425,            0,        e4125,            0,       -e4235,            0,       -e3215,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0 ] | e315
[          e35,        -e315,         e235,            0,         e435,            0,       -e4315,        e4235,            0,            0,            0,       -e3215,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0 ] | e125
[          e41,            0,         e412,        -e431,            0,         e415,            0,            0,            0,       -e1234,            0,            0,            0,        e4125,       -e4315,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e423
[          e42,        -e412,            0,         e423,            0,         e425,            0,            0,            0,            0,       -e1234,            0,       -e4125,            0,        e4235,            0,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e431
[          e43,         e431,        -e423,            0,            0,         e435,            0,            0,            0,            0,            0,       -e1234,        e4315,       -e4235,            0,            0,            0,            0,            0,            0,            0,      -e12345,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e412
[         -e45,         e415,         e425,         e435,            0,            0,            0,            0,            0,       -e4235,       -e4315,       -e4125,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,       e12345,            0,            0,            0,            0,            0,            0 ] | e321
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e4235
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e4315
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e4125
[            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0,            0 ] | e3215
